Priority	f6p[c]	g6p[c]	pep[c]	param_PGI_total	param_pH	param_Temp	FileFlag	Target_Data
1	0.0007800000000000007	0	0.00052	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.7692307692307694
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/inhibRatio_pep_1.txt"	0.00026
