Priority	2dda7p[c]	e4p[c]	pep[c]	pi[c]	2pg[c]	param_DDPA_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	2.5118864315095823e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.2007600089131019
1	0	1	3.981071705534969e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508012
1	0	1	6.30957344480193e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685686
1	0	1	0.00001	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.49999999999999994
1	0	1	0.00001584893192461114	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.613136820153143
1	0	1	0.000025118864315095822	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491987
1	0	1	0.000039810717055349695	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868981
1	0	1	0.00006309573444801929	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.8631931113967899
1	0	1	0.0001	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909091
1	0	1	1.5000000000000005e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909093
1	0	1	2.377339788691672e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321008
1	0	1	3.767829647264374e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310192
1	0	1	5.971607558302455e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508013
1	0	1	9.464360167202897e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.3868631798468569
1	0	1	0.000015000000000000004	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.5
1	0	1	0.000023773397886916717	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531432
1	0	1	0.000037678296472643745	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491988
1	0	1	0.000059716075583024555	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.799239991086898
1	0	1	0.00009464360167202897	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	1	0.00015000000000000004	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.909090909090909
1	0	0.000014100000000000023	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.09090909090909104
1	0	0.000022346994013701742	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.13680688860321022
1	0	0.00003541759868428516	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.2007600089131021
1	0	0.000056133111048043156	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.28474724895080156
