Priority	ru5p__D[c]	xu5p__D[c]	param_RPE_total	param_pH	param_Temp	FileFlag	Target_Data
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4688.774694198445
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	1501.4055424767894
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	4804.497735925726
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	11410.682122823599
