Priority	e4p[c]	f6p[c]	g3p[c]	s7p[c]	pi[c]	param_TALA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	0.00045169455985141755	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.6131368201531432
1	0	0	1	0.000715887632980231	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.7152527510491988
1	0	0	1	0.0011346054360774674	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.7992399910868982
1	0	0	1	0.00179822843176855	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.86319311139679
1	0	0	1	0.00285	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.9090909090909091
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	0.002	1	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	135.59891603842877
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.05	0	0	0	1	8.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/absRateFor.txt"	150.79207189707626
1	1	0.00011999999999999995	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.06249999999999998
1	1	0.00037947331922020535	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.1741123948954683
1	1	0.0011999999999999995	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.3999999999999999
1	1	0.003794733192202054	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.6782688399674104
1	1	0.011999999999999995	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.8695652173913043
1	1	0.00011999999999999995	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.0476190476190476
1	1	0.00037947331922020535	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.13652705949581428
1	1	0.0011999999999999995	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.33333333333333326
1	1	0.003794733192202054	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.6125741132772069
1	1	0.011999999999999995	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.8333333333333333
1	1	0.00011999999999999995	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.03225806451612902
1	1	0.00037947331922020535	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.09535767393825996
1	1	0.0011999999999999995	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.2499999999999999
1	1	0.003794733192202054	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.513167019494862
1	1	0.011999999999999995	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.769230769230769
1	9.000000000000007e-6	1	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.06250000000000004
1	0.000028460498941515435	1	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.17411239489546843
1	0.00009000000000000007	1	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.40000000000000013
1	0.00028460498941515434	1	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.6782688399674106
1	0.0009000000000000007	1	0	0	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.8695652173913043
1	9.000000000000007e-6	1	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.04761904761904766
1	0.000028460498941515435	1	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.1365270594958144
1	0.00009000000000000007	1	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.33333333333333354
1	0.00028460498941515434	1	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.612574113277207
1	0.0009000000000000007	1	0	0	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.8333333333333336
1	9.000000000000007e-6	1	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.03225806451612906
1	0.000028460498941515435	1	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.09535767393826003
1	0.00009000000000000007	1	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.25000000000000017
1	0.00028460498941515434	1	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.5131670194948621
1	0.0009000000000000007	1	0	0	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_e4p.txt"	0.7692307692307694
1	0	0	1	0.0000285	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.06250000000000001
1	0	0	1	0.00009012491331479881	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.17411239489546834
1	0	0	1	0.000285	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.39999999999999997
1	0	0	1	0.0009012491331479881	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.6782688399674105
1	0	0	1	0.00285	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.8695652173913043
1	0	0	1	0.0000285	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.04761904761904762
1	0	0	1	0.00009012491331479881	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.13652705949581434
1	0	0	1	0.000285	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.3333333333333333
1	0	0	1	0.0009012491331479881	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.6125741132772069
1	0	0	1	0.00285	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.8333333333333333
1	0	0	1	0.0000285	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.03225806451612904
1	0	0	1	0.00009012491331479881	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.09535767393825997
1	0	0	1	0.000285	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.25
1	0	0	1	0.0009012491331479881	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.513167019494862
1	0	0	1	0.00285	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.7692307692307693
1	0	0	3.7999999999999996e-6	1	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.062499999999999986
1	0	0	0.000012016655108639841	1	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.17411239489546834
1	0	0	0.000037999999999999995	1	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.3999999999999999
1	0	0	0.0001201665510863984	1	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.6782688399674105
1	0	0	0.00037999999999999997	1	0.0095	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.8695652173913043
1	0	0	3.7999999999999996e-6	1	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.04761904761904761
1	0	0	0.000012016655108639841	1	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.1365270594958143
1	0	0	0.000037999999999999995	1	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.33333333333333326
1	0	0	0.0001201665510863984	1	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.6125741132772068
1	0	0	0.00037999999999999997	1	0.019	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.8333333333333334
1	0	0	3.7999999999999996e-6	1	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.032258064516129024
1	0	0	0.000012016655108639841	1	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.09535767393825997
1	0	0	0.000037999999999999995	1	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.24999999999999997
