Priority	dhap[c]	fdp[c]	g3p[c]	param_FBA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0.000065	0.000017000000000000007	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.06250000000000003
1	0.000065	0.00005375872022286247	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.17411239489546837
1	0.000065	0.00017000000000000007	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.4000000000000001
1	0.000065	0.0005375872022286248	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.6782688399674106
1	0.000065	0.0017000000000000008	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.8695652173913043
