Priority	3psme[c]	pep[c]	pi[c]	skm5p[c]	param_PSCVT_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.0002	0	0.00003391046682537939	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.20076000891310203
1	0	0.0002	0	0.00005374446802472214	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.28474724895080145
1	0	0.0002	0	0.00008517924150482614	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.3868631798468571
1	0	0.0002	0	0.00013500000000000014	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.5000000000000002
1	0	0.0002	0	0.00021396058098225064	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.6131368201531433
1	0	0.0002	0	0.00033910466825379395	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.715252751049199
1	0	0.0002	0	0.0005374446802472219	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7992399910868984
1	0	0.0002	0	0.0008517924150482614	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.86319311139679
1	0	0.0002	0	0.0013500000000000014	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.9090909090909092
1	0	2.23e-6	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.0909090909090909
1	0	3.5343118191882844e-6	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321005
1	0	5.601506742266368e-6	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310186
1	0	8.877789903343e-6	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.28474724895080167
1	0	0.000014070348781908304	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685686
1	0	0.0000223	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.5
1	0	0.000035343118191882846	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531431
1	0	0.00005601506742266368	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491987
1	0	0.00008877789903343	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868985
1	0	0.00014070348781908303	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	0.000223	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909091
1	0	2.4999999999999994e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909088
1	0	3.9622329811527845e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321003
1	0	6.279716078773954e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.2007600089131018
1	0	9.95267926383742e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.28474724895080117
1	0	0.00001577393361200482	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685675
1	0	0.000024999999999999994	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.4999999999999999
1	0	0.00003962232981152784	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531431
1	0	0.00006279716078773954	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491987
1	0	0.0000995267926383742	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868981
1	0	0.00015773933612004822	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.8631931113967899
