ssd,Km,Km_cit,kcat,kcat_cit,Keq,Keq_cit
7.524582369344866e-9,0.0012796778211096775,0.0044877638079533376,6.184770792354383e-8,5.125634566336138e-8,2.221746820806752e-6,0.0026794745182739093
7.633872320831887e-9,0.0012827953746611448,0.004484911310062047,2.8304004758353935e-7,1.1640445028865339e-7,0.0009313077323315822,0.005507605601341454
7.643229159867848e-9,0.0012812626808250658,0.004484466330238195,4.9594039709805365e-6,2.3018006248531454e-7,0.00003283921601649245,0.010878518824922394
7.75966254221579e-9,0.001280309860984352,0.004486827273865054,1.2146955547460117e-6,5.2088434609516615e-9,0.0000661611745241214,0.01091768360092843
7.851797399116743e-9,0.001281324876997486,0.004485540266332638,3.546457641686851e-6,8.616590040876655e-8,2.39451487744945e-7,0.019070519621101994
8.28889225930791e-9,0.0012855666802189564,0.004485449831441849,1.6442514624717308e-6,4.211021372144777e-6,2.2436562766643855e-6,0.03614302509520657
1.1630503005524286e-8,0.0012809101074265294,0.004486070179689291,6.758524238814907e-6,1.4669571295385632e-8,0.01737373938439092,0.048283047340841864
1.1781252415888011e-8,0.001281285738010567,0.004481368910359791,4.670258865781275e-6,5.525379089551878e-7,0.00007649321183994419,0.07229263857495147
1.3267479257446925e-8,0.0012803031501794802,0.004486598843057643,0.000019578504404106903,2.672548542687593e-8,1.9136212390082405e-7,0.08986099448843513
3.196618860750366e-8,0.0012808830629689543,0.004481765014620759,5.423189400212343e-6,4.45623205826106e-7,0.000012897027247023423,0.13862454859741352
4.0676100888242965e-8,0.0012813745082323447,0.004481520129961179,1.2463522421844086e-6,4.606577832848013e-7,1.4381770886771458e-6,0.160147608706225
5.5574772059220196e-8,0.0012815417238694336,0.0044822108117975245,2.469401752389014e-6,5.021940418173792e-7,1.4837686709444264e-6,0.17266856057152566
9.310053069585249e-8,0.001279598715381362,0.004486552419146921,0.00001966329853975565,1.3627722936517238e-9,0.18901150912285908,9.577027146041685e-8
1.689191002211741e-7,0.0012814959151926219,0.0044853903145701665,3.567688025039912e-7,1.35747859042555e-7,8.89966472370461e-7,0.23613252925101724
2.2162073999821732e-7,0.0012588257855810495,0.004698341282232414,0.000020246648346000618,0.00007515408814091135,0.00013897611663573974,0.8729679972519394
2.518086724822575e-7,0.0012821889480124744,0.004483192444611064,1.3415162432814592e-6,4.29768734324234e-6,0.00021613696443562833,0.9643615322167678
