Priority	anth[c]	chor[c]	gln__L[c]	glu__L[c]	pyr[c]	trp__L[c]	param_ANS_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.000012000000000000007	1	0	0	5.e-7	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.8695652173913043
1	0	1.2000000000000007e-7	1	0	0	1.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.047619047619047644
1	0	3.7947331922020577e-7	1	0	0	1.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.1365270594958144
1	0	1.2000000000000008e-6	1	0	0	1.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.33333333333333354
1	0	3.7947331922020576e-6	1	0	0	1.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.6125741132772071
1	0	0.000012000000000000007	1	0	0	1.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.8333333333333334
1	0	1.2000000000000007e-7	1	0	0	2.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.03225806451612905
1	0	3.7947331922020577e-7	1	0	0	2.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.09535767393826003
1	0	1.2000000000000008e-6	1	0	0	2.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.25000000000000017
1	0	3.7947331922020576e-6	1	0	0	2.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.5131670194948621
1	0	0.000012000000000000007	1	0	0	2.e-6	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.7692307692307693
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
1	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/inhibRatio_trp__L_1.txt"	1.e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
3	0	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/customRatio_1.txt"	2.515370211e-6
