Priority	2cpr5p[c]	3ig3p[c]	co2[c]	anth[c]	param_IGPSr_total	param_pH	param_Temp	FileFlag	Target_Data
1	1.4568941302755564e-6	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.20076000891310175
1	2.3090215892102803e-6	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.28474724895080106
1	3.6595525979851162e-6	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.38686317984685664
1	5.7999999999999944e-6	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.49999999999999983
1	9.192380516274454e-6	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.6131368201531429
1	0.000014568941302755563	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7152527510491986
1	0.0000230902158921028	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7992399910868979
1	0.00003659552597985116	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.8631931113967899
1	0.000057999999999999946	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.909090909090909
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	5.
